longitude,latitude,rssi
-95.28974717,29.70504428,-83
-95.28978261,29.70493756,-80
-95.28985369,29.70489888,-86
-95.29002957,29.70488849,-79
-95.29017553,29.70488379,-79
-95.29064047,29.70481929,-87
-95.29105206,29.70475579,-81
-95.29124852,29.7047289,-81
-95.29138324,29.70472015,-85
-95.29152729,29.70469871,-89
-95.2916199,29.70468716,-84
-95.29197261,29.70467866,-84
-95.29213915,29.70468097,-83
-95.29258542,29.70468104,-86
-95.29263782,29.70469127,-86
-95.29359209,29.70468894,-87
-95.29387182,29.70467103,-82
-95.2939972,29.70467499,-82
-95.29407952,29.70466385,-85
-95.29412163,29.70466665,-86
-95.29423673,29.70467885,-82
-95.29433124,29.70468404,-87
-95.29438364,29.70468643,-89
-95.29442615,29.7051171,-85
-95.29443569,29.70530266,-85
-95.29441892,29.70537614,-89
-95.2941289,29.70543364,-88
-95.29361899,29.70545848,-82
-95.29336917,29.70546286,-80
-95.29259077,29.70546263,-87
-95.29249721,29.70546189,-87
-95.29244576,29.70546395,-84
-95.29218566,29.70545307,-80
-95.29196767,29.70545283,-80
-95.29185353,29.70545291,-87
-95.29164678,29.70547238,-83
-95.29155417,29.70548393,-82
-95.29150272,29.70549382,-79
-95.291368,29.70550257,-79
-95.29127539,29.70551411,-87
-95.29122394,29.70551617,-82
-95.29107893,29.70553317,-80
-95.29097604,29.70554512,-84
-95.2909143,29.70555543,-81
-95.2904503,29.70561655,-83
-95.29034645,29.70561622,-88
-95.28997316,29.70564121,-87
-95.28986664,29.70577093,-90
-95.2898958,29.70591987,-85
-95.2899099,29.70599995,-85
-95.28998688,29.70625677,-75
-95.29000098,29.70632901,-73
-95.29000289,29.70636142,-78
-95.29021345,29.70641461,-83
-95.29029672,29.70640793,-81
-95.29038933,29.70640422,-79
-95.29052405,29.70639548,-79
-95.29076167,29.70636694,-72
-95.29085428,29.7063554,-81
-95.29094689,29.70633601,-78
-95.2915961,29.70625181,-77
-95.29178227,29.70623316,-79
-95.29188612,29.70622566,-80
-95.29192824,29.70622062,-74
-95.29216681,29.70619654,-81
-95.2924999,29.70619331,-86
-95.2926552,29.70619941,-89
-95.29294713,29.70620567,-81
-95.2936011,29.7062064,-84
-95.2940792,29.70621752,-86
-95.29418305,29.70621784,-82
-95.29441038,29.70622889,-89
-95.29443287,29.70625264,-90
-95.29446529,29.70686631,-89
-95.29446624,29.70688643,-85
-95.29435496,29.70695472,-83
-95.29428198,29.70696099,-82
-95.29422024,29.70697914,-86
-95.29408457,29.70698343,-85
-95.29391802,29.70698897,-91
-95.29382446,29.70699606,-86
-95.29323126,29.70700408,-84
-95.29312741,29.70700376,-85
-95.29302356,29.70701126,-86
-95.2929197,29.70701094,-85
-95.292712,29.70701812,-79
-95.29252583,29.70702892,-83
-95.29242198,29.7070286,-77
-95.29231812,29.70702043,-83
-95.29201781,29.70702349,-79
-95.29192425,29.70702275,-79
-95.29181106,29.70702728,-79
-95.29170721,29.70703479,-80
-95.29159307,29.70703487,-77
-95.29147892,29.70703496,-77
-95.29125064,29.70704296,-78
-95.2910336,29.70706284,-79
-95.2909307,29.7070748,-84
-95.29052844,29.7071256,-83
-95.29033102,29.70713236,-87
-95.29023841,29.70714391,-87
-95.29013456,29.70713574,-83
-95.28936739,29.70715521,-84
-95.28927383,29.7071623,-79
-95.28916997,29.70716197,-81
-95.28907641,29.70716123,-80
-95.28897351,29.70717318,-80
-95.28876485,29.70716807,-82
-95.28867224,29.70717178,-79
-95.28848607,29.70717474,-79
-95.28826808,29.70718233,-81
-95.28810249,29.70719231,-69
-95.28790507,29.70719123,-72
-95.28740829,29.70721332,-75
-95.28710703,29.70720408,-71
